created_at,id_str,full_text
2018-01-01 23:42:49+00:00,947976434387181568,"Libur Natal dan Tahun Baru, 13 Kecelakaan Laut Terjadi di Sukabumi | Pikiran Rakyat https://t.co/fLM9VDr784 via @pikiran_rakyat"
2018-01-01 23:46:02+00:00,947977244596584448,"Pacaran itu seperti tabung gas, orang tahu kalo itu bahaya, tapi tetep aja laku, giliran ‘kecelakaan’, nyalahin rame-rame."
2018-01-01 23:53:46+00:00,947979192188125184,Kecelakaan Pesawat di Costa Rica Tewaskan 12 Orang https://t.co/9QbTx1Mbh2
2018-01-01 23:56:27+00:00,947979865738960897,16 RadioElshinta 05.50: RT TMCPoldaMetro : Kecelakaan Daihatsu Xenia B 1877 VMF &amp  Pick Up E 8968 VL di Exit Tol Semanggi Jl. Gatot Subroto &amp  msh penanganan Polri. #ElshintaNewYear https://t.co/ffQXalwPe6
2018-01-02 18:00:00+00:00,948252550901436416,Angka Kecelakaan Selama Operasi Lilin 2017 Diklaim Menurun https://t.co/dgED2vdna6 https://t.co/MrihzwMSnF
2018-01-02 18:06:32+00:00,948254194057797632,"KECELAKAAN TUNGGAL ANGKOT KUTABUMI-KALIDERES-KALIDERES,2018: https://t.co/gyl16mxoEj melalui @YouTube"
2018-01-02 18:08:09+00:00,948254603942027266,"SEPANJANG 2017, TERJADI 35 KASUS KECELAKAAN PELAYARAN https://t.co/H67ltV9bzQ"
2018-01-02 18:08:23+00:00,948254659470286848,"korban penipuan gak sakit, korban kecelakaan juga biasa,"
2018-01-02 18:35:03+00:00,948261373091266560,"Truk dan Motor Terlibat Kecelakaan di Marunda, 1 Orang Meninggal Dunia https://t.co/Wx9P5SqgtW https://t.co/pU5JqUIPhm"
2018-01-02 18:39:44+00:00,948262551657234433,"Kecelakaan Awal Tahun, Angkot Tabrak Tiang Telkom https://t.co/yK0Zjc2JYF lewat @Gamalamanews.com"
2018-01-02 18:50:22+00:00,948265224720728065,"Remaja Ini Sempat Dikira Korban Kecelakaan, Foto Selanjutnya Bikin Netter Kesal https://t.co/cn4ssTmpor #LINETODAY"
2018-01-02 18:52:45+00:00,948265826435530752,0252hrs- Amalan mengekori terlalu rapat kenderaan di hadapan boleh mengundang kecelakaan. Sila awasi jarak selamat kenderaan anda.#kltu
2018-01-02 19:11:42+00:00,948270592980946944,Video LUCU Kecelakaan Yg Sangat Koplak  https://t.co/brY0bJsQQK
